Moderation Judgement	Targeted Statement	Context Paragraph	Biographical Subject	Biographical Summary	Edit Date	Editor username	Annotator n°1 judgement	Annotator n°2 judgement	Annotator n°3 judgement	Annotator n°4 judgement	Annotator n°5 judgement	Annotator's Majority Vote	Neutral Vote Ratio	Non-neutral Vote Ratio	ELB	POV	PDEI
neutral	"Un audit commandé au cabinet EY et publié en avril 2016 confirme une ""forte dégradation"" de la situation financière de la région Poitou-Charentes sous la présidence de Ségolène Royal. L'étude relève des retards de paiements s'élevant à 132 millions d'euros et évoque une situation de quasi-banqueroute si la région n'avait pas été fusionné avec l'Aquitaine et le Limousin en 2015."	Début 2016, le nouveau président du conseil régional de Nouvelle-Aquitaine, le socialiste Alain Rousset, fait état d'un mauvais bilan financier de l'ancienne région Poitou-Charentes, déclarant que « c'est une région qui manifestait beaucoup de volontarisme et avait sans doute les yeux plus gros que le ventre par rapport aux capacités de financement ». Un audit commandé au cabinet EY et publié en avril 2016 confirme une « forte dégradation » de la situation financière de la région Poitou-Charentes sous la présidence de Ségolène Royal. L'étude relève des retards de paiements s'élevant à 132 millions d'euros et évoque une situation de quasi-banqueroute si la région n'avait pas été fusionnée avec l'Aquitaine et le Limousin en 2015. Le quotidien La Nouvelle République indique que la région bouclait depuis plusieurs années son budget en reportant une partie de ses dépenses sur l'année suivante, une pratique qui avait été précédemment condamnée par la chambre régionale des comptes. L'audit relève également une absence d'épargne de l'ancienne région et une dette de 450 millions d'euros. Sur cette somme, le montant d'emprunts structurés est de 200 millions d'euros, dont 56 millions d'euros sont estimés « à très haut risque » et 46 millions « à risque »[68]. Ségolène Royal dénonce un règlement de comptes politique et invoque un problème informatique venant de la région Aquitaine.	Ségolène Royal	"Ségolène Royal, née Marie Ségolène Royal le 22 septembre 1953 à Dakar (Sénégal), est une haute fonctionnaire et femme politique française.

Membre du Parti socialiste, conseillère du président François Mitterrand dans les années 1980, elle est députée de la deuxième circonscription des Deux-Sèvres de 1988 à 2007. Ministre de l'Environnement dans le gouvernement Pierre Bérégovoy, elle est ensuite nommée ministre de l'Enseignement scolaire, puis de la Famille, par Lionel Jospin lors de la troisième cohabitation. En 1995, elle perd les élections municipales de Niort. Elle préside le conseil régional de Poitou-Charentes de 2004 à 2014. Elle est de 1978 à 2007 en couple avec François Hollande, avec qui elle a quatre enfants.

En 2007, Ségolène Royal est la première femme française à accéder au second tour d'une élection présidentielle, mais elle est battue par Nicolas Sarkozy, récoltant 46,94 % des suffrages exprimés. En 2008, elle est défaite de justesse par Martine Aubry lors de l'élection à la fonction de premier secrétaire du Parti socialiste. Elle finit quatrième au premier tour de la primaire socialiste de 2011, puis est battue aux élections législatives de 2012 dans la première circonscription de la Charente-Maritime.

Dans les gouvernements Manuel Valls et Bernard Cazeneuve, entre 2014 et 2017, elle est ministre de l'Environnement, de l'Énergie et de la Mer. Elle quitte ensuite le PS et se voit nommée par Emmanuel Macron ambassadrice chargée de la négociation internationale pour les pôles arctique et antarctique, une fonction dont elle est démise en 2020 en raison de ses critiques envers la politique de l’exécutif. L’année suivante, elle est battue aux élections sénatoriales pour les Français établis hors de France."	2016-04-08	Thontep	neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	Null	Null	Null
neutral	Il reconnaît ses absences, les justifiant par sa campagne à la primaire et par la réduction du poids politique du Parlement.	Jusqu'alors parmi les députés les plus actifs et présents à l'Assemblée nationale, Arnaud Montebourg est moins présent à partir de la mise en œuvre de la réforme institutionnelle de 2008, puis après sa déclaration de candidature à la primaire de 2011. Il n’a ainsi, à compter d'octobre 2010, assisté à aucune des 29 réunions du mercredi de la Commission des lois, et il écope d'une sanction financière (retenue sur les indemnités), et devient l'un des députés les moins actifs de l'Assemblée en 2011. Il reconnaît ses absences, les justifiant par sa campagne à la primaire et par la réduction du poids politique du Parlement.	Arnaud Montebourg	"Arnaud Montebourg, né le 30 octobre 1962 à Clamecy (Nièvre), est un avocat, entrepreneur et homme politique français.

Il adhère au Parti socialiste en 1985. Il est député à l'Assemblée nationale, élu dans la sixième circonscription de Saône-et-Loire, de 1997 à 2012. Il est également président du conseil général de Saône-et-Loire de 2008 à 2012. À partir du congrès de Reims de 2008, il est secrétaire national du Parti socialiste chargé de la rénovation.

Arrivé en troisième position du premier tour de la primaire citoyenne de 2011, il est nommé, l'année suivante, ministre du Redressement productif dans les gouvernements Ayrault. Il devient ministre de l'Économie, du Redressement productif et du Numérique dans le premier gouvernement Valls, en avril 2014 ; critique envers l'action du gouvernement, il quitte ses fonctions en août suivant lors de la formation du second gouvernement Valls. Il est candidat à la primaire citoyenne de 2017, où il termine troisième au premier tour.

À partir de 2017, retiré de la vie politique, il crée plusieurs entreprises dans le domaine de l'agro-alimentaire. Il annonce en 2021 sa candidature à l'élection présidentielle de 2022, avant de se retirer trois mois avant le scrutin."	2011-08-04	Cheep	neutral	non-neutral	non-neutral	neutral	neutral	neutral	3	2	Null	Null	Null
neutral	Il milite pour la reconnaissance de la responsabilité de l'armée française dans la disparition de Maurice Audin, mort sous la torture en 1957 à Alger alors qu'il participait à la bataille d'Alger aux côtés du FLN.	Il milite pour la reconnaissance de la responsabilité de l'armée française dans la disparition de Maurice Audin, mort sous la torture en 1957 à Alger alors qu'il participait à la bataille d'Alger aux côtés du FLN.	Cédric Villani	"Cédric Villani, né le 5 octobre 1973 à Brive-la-Gaillarde (Corrèze), est un mathématicien et homme politique français.

Spécialiste de l'analyse mathématique, il travaille sur des problèmes issus de la physique statistique (équation de Boltzmann, amortissement Landau), de l'optimisation (problème du transport optimal de Monge) et de la géométrie riemannienne (théorie synthétique de la courbure de Ricci). Directeur de l'institut Henri-Poincaré de 2009 à 2017 et professeur des universités, il est lauréat de la médaille Fields en 2010.

Il est élu député dans la cinquième circonscription de l'Essonne lors des élections législatives de 2017, sous l'étiquette de La République en marche (LREM). En 2020, il est candidat pour les élections municipales à Paris, mais la commission d'investiture de son parti désigne Benjamin Griveaux. Ses listes n'obtiennent aucun siège au Conseil de Paris, mais il est élu conseiller du 14e arrondissement. Exclu du parti, il quitte le groupe LREM à l'Assemblée nationale la même année pour rejoindre le groupe Écologie démocratie solidarité (EDS) puis Génération écologie. Il se porte candidat sous la bannière de la Nouvelle Union populaire écologique et sociale (NUPES) lors des élections législatives de 2022, mais n'est pas réélu dans sa circonscription, battu de 19 voix par Paul Midy de la coalition présidentielle Ensemble."	2019-09-10	Cheep	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
non-neutral	Philippe Briand possède et préside le réseau d'administration de biens Citya immobilier qu'il a créé en 1990. Citya a commencé lorsque Philippe Briand utilisa l'argent de l'héritage de ses parents pour acheter cinq studios à Tours et qu'il constata que la gestion de ces biens pour son agence n'était pas satisfaisant. Il a alors racheté une agence, ce qui donna naissance à Citya.	Philippe Briand possède et préside le réseau d'administration de biens Citya immobilier qu'il a créé en 1990. Citya a commencé lorsque Philippe Briand utilisa l'argent de l'héritage de ses parents pour acheter cinq studios à Tours et qu'il constata que la gestion de ces biens pour son agence n'était pas satisfaisant. Il a alors racheté une agence, ce qui donna naissance à Citya.	Philippe Briand	Philippe Briand, né le 26 octobre 1960 à Tours (Indre-et-Loire), est un chef d'entreprise et homme politique français. Il est condamné pour escroquerie et complicité de financement illégal de campagne électorale dans le cadre de l'affaire Bygmalion.	2015-08-27	Markfeltfrance	neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	0	1	0
non-neutral	Ce nouveau dispositif rencontre un indéniable succès en pleine crise économique, puisqu'adopté par plus de 145 000 personnes en seulement six mois.	En tant que ministre, Hervé Novelli fait voter la loi de modernisation de l'économie de 2008. Ce texte met notamment en place le statut d'auto-entrepreneur, destiné à faciliter le lancement et l'interruption d'une activité, entré en vigueur le 1er janvier 2009. Ce nouveau dispositif rencontre un indéniable succès en pleine crise économique, puisqu'adopté par plus de 145 000 personnes en seulement six mois. Au 31 décembre 2009, l'INSEE comptabilise 320 019 demandes de création en auto-entrepreneur et l'objectif d'un milliard d'euros de chiffre d'affaires généré par le « statut Novelli » est atteint.	Hervé Novelli	"Hervé Novelli, né le 6 mars 1949 à Paris, est un homme politique français.

Diplômé de micromécanique et dirigeant de deux PME, Hervé Novelli milite d'abord à l'extrême droite (Occident, GUD, Front national, PFN), puis au CNIP, à l'UDF et à Démocratie libérale. Député de la 4e circonscription d'Indre-et-Loire de 1993 à 1997, il est député européen de 1999 à 2002.

Réélu à l'Assemblée nationale en 2002 sous l'étiquette UMP, il a été secrétaire d'État chargé du Commerce, de l'Artisanat, des Petites et Moyennes entreprises, du Tourisme, des Services et de la Consommation dans le gouvernement François Fillon II. À ce poste, il a été à l'origine de la mise en place du statut d'auto-entrepreneur.

Hervé Novelli est membre d'honneur de l'Observatoire du patrimoine religieux (OPR), une association multiconfessionnelle qui œuvre à la préservation et au rayonnement du patrimoine culturel français."	2012-06-20	Huesca	neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	1	4	1	0	1
neutral	Dans un premier temps, l'UMP diffuse donc des communiqués dans lesquels elle signale que « les propositions présentées par Dominique de Villepin ont été élaborées à la suite de plusieurs entretiens avec Nicolas Sarkozy », et que « ce contrat est issu d’une proposition de la Convention thématique de l’UMP. » Cependant, durant la montée des protestations après les vacances scolaires et universitaires de février, Nicolas Sarkozy prend ses distances avec ce projet.	En janvier 2006, Dominique de Villepin annonce la mise en place d'un Contrat première embauche destiné à réduire le chômage des jeunes, qui s'appuye sur les réflexions développées par des proches de Nicolas Sarkozy sur la réforme des contrats de travail. Dans un premier temps, l'UMP diffuse donc des communiqués dans lesquels elle signale que « les propositions présentées par Dominique de Villepin ont été élaborées à la suite de plusieurs entretiens avec Nicolas Sarkozy », et que « ce contrat est issu d’une proposition de la Convention thématique de l’UMP. » Cependant, durant la montée des protestations après les vacances scolaires et universitaires de février, Nicolas Sarkozy prend ses distances avec ce projet.	Nicolas Sarkozy	"Nicolas Sarközy de Nagy-Bocsa, dit Nicolas Sarkozy, né le 28 janvier 1955 à Paris 17e (Seine), est un homme d'État français. Il est président de la République française du 16 mai 2007 au 15 mai 2012.

Il occupe d'abord les fonctions de maire de Neuilly-sur-Seine, député, ministre du Budget et porte-parole du gouvernement ou encore de président par intérim du Rassemblement pour la République (RPR). À partir de 2002, il est ministre de l'Intérieur (à deux reprises), ministre de l'Économie et des Finances et président du conseil général des Hauts-de-Seine. Il est alors l'un des dirigeants les plus en vue de l'Union pour un mouvement populaire (UMP), qu'il préside de 2004 à 2007.

Élu président de la République française en 2007 avec 53,1 % des suffrages face à Ségolène Royal, il inaugure une rupture de style et de communication par rapport à ses prédécesseurs. Il fait voter plusieurs réformes, dont celles des universités en 2007 et des retraites en 2010. Son mandat est également marqué par de grands événements internationaux tels que la crise économique mondiale de 2008, la crise de la dette dans la zone euro et l'intervention militaire de 2011 en Libye. Candidat à sa réélection en 2012 alors qu'il est au cœur de soupçons de financements illégaux de sa campagne électorale de 2007 par Liliane Bettencourt ou la Libye, il obtient 48,4 % des voix au second tour, s’inclinant face à François Hollande.

Après son départ de la présidence, il siège pendant quelques mois au Conseil constitutionnel, dont il est membre de droit et à vie. En 2014, il reprend la présidence de l'Union pour un mouvement populaire (UMP), qu'il fait rebaptiser Les Républicains (LR). Il quitte la tête du parti en 2016 pour se présenter, sans succès, à la primaire de la droite et du centre en vue de l'élection présidentielle de 2017. Il se met ensuite de nouveau en retrait de la vie politique.

En 2023, dans l'affaire Sarkozy-Azibert, il est condamné en appel à trois ans de prison pour corruption et trafic d'influence. Dans l'affaire Bygmalion, il est condamné en appel en 2024 à un an de prison pour financement illégal de sa campagne électorale de 2012 ; il est le premier président de la Ve République condamné à de la prison ferme, pour corruption et trafic d'influence.

Dans l'affaire Sarkozy-Kadhafi, il est accusé d'avoir été corrompu par le dictateur libyen Mouammar Kadhafi en échange du financement illégal de sa campagne électorale, et il est condamné en première instance en septembre 2025 à 5 ans de prison ferme pour association de malfaiteurs. Il est écroué le 21 octobre à la prison de la Santé de Paris."	2006-07-24	Turb	neutral	neutral	neutral	non-neutral	neutral	neutral	4	1	Null	Null	Null
non-neutral	Mère de deux filles qu'elle a eues avec son ancienne compagne par procréation médicalement assistée en Belgique, elle réside à Bellenaves depuis 2002.	Mère de deux filles qu'elle a eues avec son ancienne compagne par procréation médicalement assistée en Belgique, elle réside à Bellenaves depuis 2002.	Laurence Vanceunebrock	"Laurence Vanceunebrock, née le 6 mai 1970 à Avion (Pas-de-Calais), est une femme politique française.

Membre de La République en marche, elle est députée de la 2e circonscription de l'Allier de 2017 à 2022."	2018-02-28	MrMajestyk93	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	0	0	0
non-neutral	Le 22 octobre 2020 lors d’échanges à Poitiers sur la thématique de la religion avec des jeunes citoyens des quartiers populaires, elle créa le malaise en dénigrant les expériences personnelles des jeunes victimes de discriminations. Son comportement condescendant et son manque de considérations envers les propositions des jeunes en face d’elle se fait remarquer unanimement. Qualifiant même ceux-ci à sa sortie des débats, de non représentatif de la jeunesse et de potentiels radicalisés. Elle intentera plus tard une inspection à la Fédération des Centres Sociaux pour avoir organisé ces échanges. /// Elle se trompera à plusieurs reprises dans la même intervention sur la Garantie Jeunes, dans son niveau réel de rémunération 497€, le confondant avec celui du RSA, plus élevé, dans sa durée (maximale d’un an), et de son accessibilité qui est en réalité périlleuse.	Le 22 octobre 2020 lors d’échanges à Poitiers sur la thématique de la religion avec des jeunes citoyens des quartiers populaires, elle créa le malaise en dénigrant les expériences personnelles des jeunes victimes de discriminations. Son comportement condescendant et son manque de considérations envers les propositions des jeunes en face d’elle se fait remarquer unanimement. Qualifiant même ceux-ci à sa sortie des débats, de non représentatif de la jeunesse et de potentiels radicalisés. Elle intentera plus tard une inspection à la Fédération des Centres Sociaux pour avoir organisé ces échanges. /// Après un entretien diffusé sur la chaîne LCP, elle est vivement critiquée pour avoir affirmé qu'on « peut très bien manger à petit prix aujourd’hui », alors que le taux de pauvreté n'a jamais été aussi élevé en France. Elle se trompera à plusieurs reprises dans la même intervention sur la Garantie Jeunes, dans son niveau réel de rémunération 497€, le confondant avec celui du RSA, plus élevé, dans sa durée (maximale d’un an), et de son accessibilité qui est en réalité périlleuse.	Sarah El Haïry	"Sarah El Haïry, née le 16 mars 1989 à Romorantin-Lanthenay (Loir-et-Cher), est une femme politique française.

Membre du Mouvement démocrate (MoDem), elle est députée de la 5e circonscription de la Loire-Atlantique de 2017 à 2024. Elle est également conseillère municipale de Nantes depuis 2020.

Entre 2020 et 2024, elle exerce plusieurs fonctions ministérielles : secrétaire d'État chargée de la Jeunesse et de l'Engagement, secrétaire d'État chargée de la Jeunesse et du Service national universel, secrétaire d’État chargée de la Biodiversité, et ministre déléguée chargée de l'Enfance, de la Jeunesse et des Familles. Elle perd son siège de députée lors des élections législatives de 2024.

Depuis le 5 mars 2025, elle est Haute-commissaire à l'Enfance."	2020-11-15	HaT59	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	1	1	1
non-neutral	Leïla Chaibi, née le 5 octobre 1982 à Dijon (Côte-d'Or), est une activiste femme politique française. /// Leïla Chaibi fut agent au Pôle ressources de la politique de la ville de Paris, coordinatrice actions citoyennes au service jeunesse de la ville de Gennevilliers, et responsable de la vie associative à Stains. /// En 2009, selon Libération, elle n'a pas de travail fixe et « accumule les missions et les CDD », comme secrétaire administrative du comité d'entreprise de Pizza Hut ou rédactrice pour un club d'affaires spécialisé dans les entreprises de marketing. ///  Longtemps à l'écart des organisations politiques classiques, c'est en 2009, à sa création, qu'elle intègre le Nouveau Parti anticapitaliste (NPA) aux côtés notamment d'Olivier Besancenot.	Leïla Chaibi, née le 5 octobre 1982 à Dijon (Côte-d'Or), est une activiste femme politique française. /// Leïla Chaibi fut agent au Pôle ressources de la politique de la ville de Paris, coordinatrice actions citoyennes au service jeunesse de la ville de Gennevilliers, et responsable de la vie associative à Stains. /// En 2009, selon Libération, elle n'a pas de travail fixe et « accumule les missions et les CDD », comme secrétaire administrative du comité d'entreprise de Pizza Hut ou rédactrice pour un club d'affaires spécialisé dans les entreprises de marketing. ///  Longtemps à l’écart des organisations politiques classiques, c’est en 2009, à sa création, qu'elle intègre le Nouveau Parti anticapitaliste (NPA) aux côtés notamment d'Olivier Besancenot. Elle est élue au comité exécutif du parti la même année. Cependant, déçue par l’isolationnisme du NPA et pour protester contre l'absence d'accord national avec le Front de gauche, elle quitte ce parti en février 2011. Elle dit souhaiter le rassemblement de la « gauche alternative de transformation sociale »	Leïla Chaibi	Leïla Chaibi, née le 5 octobre 1982 à Dijon (Côte-d'Or), est une femme politique franco-tunisienne. Aux élections européennes de 2019, elle est élue au Parlement européen sur la liste de La France insoumise. Son mandat est renouvelé en 2024. Elle est présidente de la délégation France insoumise au Parlement européen.	2024-04-07	Spilach	neutral	neutral	neutral	neutral	neutral	neutral	5	0	0	0	1
non-neutral	Soutenu par le Rassemblement national, il est élu député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022. Il siège au sein du groupe RN. Il est membre de la commission des Affaires sociales de l'Assemblée nationale et a été élu secrétaire au sein du bureau de la Commission. /// Souverainiste, Christophe Bentz s'engage en politique en 2005 à l'occasion de la campagne du « non » au référendum sur le traité constitutionnel européen. /// Diplômé d'une école de communication, il se spécialise dans le fonctionnement des cabinets d'élus de collectivités territoriales et participe à la direction scientifique des fiches-métiers des directeurs de cabinet (aux Editions Territorial). /// Collaborateur d'élus locaux, il prend part à la rédaction du « premier vade-mecum complet sur le métier des professionnels de cabinet des collectivités locales ». Il a notamment été conseiller technique au cabinet du président DVD du conseil départemental de la Charente, chef de cabinet du maire LR de Mantes-la-Jolie, directeur de la Communication des maires des Clayes-sous-Bois et UDI d'Elancourt (dans les Yvelines). Il a par ailleurs dirigé plusieurs campagnes électorales pour des candidats de droite.	Soutenu par le Rassemblement national, il est élu député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022. Il siège au sein du groupe RN. Il est membre de la commission des Affaires sociales de l'Assemblée nationale et a été élu secrétaire au sein du bureau de la Commission. /// Souverainiste, Christophe Bentz s'engage en politique en 2005 à l'occasion de la campagne du « non » au référendum sur le traité constitutionnel européen. /// Diplômé d'une école de communication, il se spécialise dans le fonctionnement des cabinets d'élus de collectivités territoriales et participe à la direction scientifique des fiches-métiers des directeurs de cabinet (aux Editions Territorial). /// Collaborateur d'élus locaux, il prend part à la rédaction du « premier vade-mecum complet sur le métier des professionnels de cabinet des collectivités locales ». Il a notamment été conseiller technique au cabinet du président DVD du conseil départemental de la Charente, chef de cabinet du maire LR de Mantes-la-Jolie, directeur de la Communication des maires des Clayes-sous-Bois et UDI d'Elancourt (dans les Yvelines). Il a par ailleurs dirigé plusieurs campagnes électorales pour des candidats de droite.	Christophe Bentz	"Christophe Bentz, né le 4 juillet 1987 à Boulogne-Billancourt (Hauts-de-Seine), est un homme politique français.

Membre successif du Mouvement pour la France et du Parti chrétien-démocrate devenu Via, la voie du peuple, il est élu conseiller municipal à Saint-Germain-en-Laye (Yvelines) en 2020, puis député dans la 1re circonscription de la Haute-Marne lors des élections législatives de 2022, avec le soutien du Rassemblement national. À l'Assemblée nationale, il siège au sein du groupe RN.

Ses propos sur l'interruption volontaire de grossesse qu'il présente comme un « génocide de masse » ont créé une controverse, de même que son évocation de la notion de « race » dans son ouvrage Décrypter l'antiracisme."	2022-08-30	Éric Messel-3	non-neutral	neutral	neutral	neutral	neutral	neutral	4	1	0	0	1
